,freq_center,freq_center_err,E,D,detect_red_first,data_indices,start_time,end_time
30,139579.5456287926,17.51171026394601,False,True,True,"[861913, 861914, 861915, 861916]",1720498990.3417559,1720498998.007352
31,139622.59753481942,17.318675914997687,False,False,True,"[861913, 861914, 861915, 861916]",1720498990.3417559,1720498998.007352
32,139451.33142815062,13.929883251038477,True,False,True,"[861917, 861918, 861919, 861920]",1720498998.0125315,1720499005.717762
33,139453.6585172079,13.375065922655084,True,True,True,"[861917, 861918, 861919, 861920]",1720498998.0125315,1720499005.717762
34,139550.73849325554,16.21923842944569,False,True,True,"[861921, 861922, 861923, 861924]",1720499005.722895,1720499013.379703
35,139554.52457210494,16.69364120983964,False,False,True,"[861921, 861922, 861923, 861924]",1720499005.722895,1720499013.379703
36,139425.13178630316,17.521489594003892,True,False,True,"[861925, 861926, 861927, 861928]",1720499013.384941,1720499021.086546
37,139427.63573510654,17.331866247972442,True,True,True,"[861925, 861926, 861927, 861928]",1720499013.384941,1720499021.086546
38,139384.85931521145,18.16331841275027,False,True,True,"[861929, 861930, 861931, 861932]",1720499021.0916805,1720499028.773561
39,139374.12334940373,18.014233111080053,False,False,True,"[861929, 861930, 861931, 861932]",1720499021.0916805,1720499028.773561
40,139482.75724831672,17.421083191765362,True,False,True,"[861933, 861934, 861935, 861936]",1720499028.778688,1720499036.482394
41,139499.3487010481,17.430602863387534,True,True,True,"[861933, 861934, 861935, 861936]",1720499028.778688,1720499036.482394
42,139360.89362729277,16.107783151529034,False,True,True,"[861937, 861938, 861939, 861940]",1720499036.5252175,1720499044.225733
43,139360.9980789055,15.544216196565166,False,False,True,"[861937, 861938, 861939, 861940]",1720499036.5252175,1720499044.225733
44,139532.51880474412,16.669987010945974,True,False,True,"[861941, 861942, 861943, 861944]",1720499044.2308311,1720499051.881034
45,139503.1442873215,15.97714031364223,True,True,True,"[861941, 861942, 861943, 861944]",1720499044.2308311,1720499051.881034
46,139487.1430326843,14.349024573059975,False,True,True,"[861945, 861946, 861947, 861948]",1720499051.8862982,1720499059.574463
47,139516.06446165298,14.132628656824693,False,False,True,"[861945, 861946, 861947, 861948]",1720499051.8862982,1720499059.574463
48,139465.93514509298,17.678498963587675,True,False,True,"[861949, 861950, 861951, 861952]",1720499059.5798905,1720499067.266986
49,139478.3058340837,17.584650050786838,True,True,True,"[861949, 861950, 861951, 861952]",1720499059.5798905,1720499067.266986
50,139568.89936931158,17.145347918340168,False,True,True,"[861953, 861954, 861955, 861956]",1720499067.272089,1720499074.979472
51,139542.07734061088,17.039761824430236,False,False,True,"[861953, 861954, 861955, 861956]",1720499067.272089,1720499074.979472
52,139408.55494752227,17.998604054150995,True,False,True,"[861957, 861958, 861959, 861960]",1720499074.9847085,1720499082.673118
53,139420.07673627004,17.864930833646586,True,True,True,"[861957, 861958, 861959, 861960]",1720499074.9847085,1720499082.673118
54,139439.40881622795,16.72329558594608,False,True,True,"[861961, 861962, 861963, 861964]",1720499082.6785638,1720499090.385742
55,139431.09833672017,15.984162406636885,False,False,True,"[861961, 861962, 861963, 861964]",1720499082.6785638,1720499090.385742
